,id,Transaction_ID,Customer_ID,Phone,Zipcode,Age,Year,Total_Purchases,Amount,Total_Amount,Ratings
id,1.0,-0.0006393469640548109,-0.0016670311563123028,-0.0021237295059565978,0.0023666857478223855,0.5158737805807925,-0.0033984392678371176,-0.005479817762205328,0.00044788126952319864,-0.0040038998856920275,0.1075597785061666
Transaction_ID,-0.0006393469640548109,1.0,0.0053339019354537555,0.00028625713982012335,-0.003314337933446566,-0.0013901039486098035,0.00010953348333530822,-0.001780989349201014,-0.0031364663730369734,-0.0025844612361373494,-0.0004617199673670506
Customer_ID,-0.0016670311563123028,0.0053339019354537555,1.0,-0.0011107524678056013,-0.002364645516235338,-0.00017096652980615936,0.0007975553712512871,0.0037477639820675604,0.00028280323909691624,0.0027038846286286315,0.0015862649608937613
Phone,-0.0021237295059565978,0.00028625713982012335,-0.0011107524678056013,1.0,-0.0031245809545466935,-0.003324686791512238,0.00215020112384779,-0.0008578156478669548,-1.8096298265983395e-05,-0.0004478624719433837,-0.00038780303657602063
Zipcode,0.0023666857478223855,-0.003314337933446566,-0.002364645516235338,-0.0031245809545466935,1.0,0.00035941292838957434,0.0021305937606692082,0.0009040535709412902,0.00131227716054865,0.0011060302861877432,-0.002045099892377718
Age,0.5158737805807925,-0.0013901039486098035,-0.00017096652980615936,-0.003324686791512238,0.00035941292838957434,1.0,-0.0021939871460464897,0.03297888956732277,0.0010404776427568026,0.022491336365347062,0.16728420691899107
Year,-0.0033984392678371176,0.00010953348333530822,0.0007975553712512871,0.00215020112384779,0.0021305937606692082,-0.0021939871460464897,1.0,-0.0020283472899819623,0.0014711314577339335,-0.0019018183983698603,-0.001337563785516796
Total_Purchases,-0.005479817762205328,-0.001780989349201014,0.0037477639820675604,-0.0008578156478669548,0.0009040535709412902,0.03297888956732277,-0.0020283472899819623,1.0,0.00024644108935921254,0.6491824840169427,-0.004388233726485678
Amount,0.00044788126952319864,-0.0031364663730369734,0.00028280323909691624,-1.8096298265983395e-05,0.00131227716054865,0.0010404776427568026,0.0014711314577339335,0.00024644108935921254,1.0,0.6706001867074716,-0.00046463768899764285
Total_Amount,-0.0040038998856920275,-0.0025844612361373494,0.0027038846286286315,-0.0004478624719433837,0.0011060302861877432,0.022491336365347062,-0.0019018183983698603,0.6491824840169427,0.6706001867074716,1.0,-0.0036074631650462588
Ratings,0.1075597785061666,-0.0004617199673670506,0.0015862649608937613,-0.00038780303657602063,-0.002045099892377718,0.16728420691899107,-0.001337563785516796,-0.004388233726485678,-0.00046463768899764285,-0.0036074631650462588,1.0
