column,missing_count,missing_pct,unique_count,dtype
id,0,0.0,293911,int64
Year,0,0.0,2,float64
Ratings,0,0.0,5,float64
Order_Status,0,0.0,4,object
Payment_Method,0,0.0,4,object
Shipping_Method,0,0.0,3,object
Feedback,0,0.0,4,object
Product_Type,0,0.0,33,object
Product_Brand,0,0.0,18,object
Product_Category,0,0.0,5,object
Total_Amount,0,0.0,291618,float64
Amount,0,0.0,291615,float64
Total_Purchases,0,0.0,10,float64
Time,0,0.0,83435,object
Month,0,0.0,12,object
Date,0,0.0,366,object
Transaction_ID,0,0.0,287005,float64
Customer_Segment,0,0.0,3,object
Income,0,0.0,3,object
Gender,0,0.0,2,object
Age,0,0.0,53,float64
Country,0,0.0,5,object
Zipcode,0,0.0,93580,float64
State,0,0.0,54,object
City,0,0.0,130,object
Address,0,0.0,291610,object
Phone,0,0.0,291620,float64
Email,0,0.0,52530,object
Name,0,0.0,156638,object
Customer_ID,0,0.0,86485,float64
products,0,0.0,318,object
